Namespace(activation='maxmin', batch_size=500, block_size=2, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=400, eval_num=100, init_channels=32, lln=False, loss='l1', loss_scale='1.0', lr_drop=200, lr_max=0.2, lr_min=0.0001, momentum=0.9, n=15000, opt_level='O2', out_dir='ISO_cifar10_l1_2_soc_32_maxmin', seed=0, weight_decay=0.0005, workers=4)
Epoch 	 Seconds 	 LR 	 Train Loss
237 	 9.5 	 0.2000 	 -3.6032
238 	 9.5 	 0.2000 	 -3.6630
239 	 9.5 	 0.2000 	 -3.5258
240 	 10.0 	 0.2000 	 -3.6857
241 	 9.5 	 0.2000 	 -3.6095
242 	 9.4 	 0.2000 	 -3.5400
243 	 9.9 	 0.2000 	 -3.6852
244 	 9.5 	 0.2000 	 -3.7593
245 	 9.5 	 0.2000 	 -3.6918
246 	 10.0 	 0.2000 	 -3.7480
247 	 9.5 	 0.2000 	 -3.7780
248 	 9.6 	 0.2000 	 -3.7400
249 	 9.5 	 0.2000 	 -3.7093
250 	 10.0 	 0.2000 	 -3.6215
251 	 9.5 	 0.2000 	 -3.6858
252 	 9.5 	 0.2000 	 -3.6853
253 	 10.0 	 0.2000 	 -3.8468
254 	 9.5 	 0.2000 	 -3.7832
255 	 9.5 	 0.2000 	 -3.7089
256 	 9.9 	 0.2000 	 -3.8342
257 	 9.5 	 0.2000 	 -3.7997
258 	 9.4 	 0.2000 	 -3.7937
259 	 9.5 	 0.2000 	 -3.8556
260 	 10.0 	 0.2000 	 -3.9187
261 	 9.5 	 0.2000 	 -3.7457
262 	 9.5 	 0.2000 	 -3.9049
263 	 10.0 	 0.2000 	 -3.9074
264 	 9.5 	 0.2000 	 -3.8718
265 	 9.5 	 0.2000 	 -3.8045
266 	 10.0 	 0.2000 	 -3.8365
267 	 9.5 	 0.2000 	 -3.9239
268 	 9.5 	 0.2000 	 -3.8771
269 	 9.5 	 0.2000 	 -3.8455
270 	 10.0 	 0.2000 	 -3.8972
271 	 9.5 	 0.2000 	 -4.0287
272 	 9.5 	 0.2000 	 -3.9172
273 	 10.0 	 0.2000 	 -3.9361
274 	 9.5 	 0.2000 	 -3.9215
275 	 9.5 	 0.2000 	 -4.0231
276 	 9.9 	 0.2000 	 -4.0153
277 	 9.5 	 0.2000 	 -4.0026
278 	 9.5 	 0.2000 	 -4.0317
279 	 9.5 	 0.2000 	 -4.0634
280 	 10.0 	 0.2000 	 -4.0243
281 	 9.5 	 0.2000 	 -3.9960
282 	 9.5 	 0.2000 	 -4.0626
283 	 9.9 	 0.2000 	 -4.0222
284 	 9.5 	 0.2000 	 -4.0719
285 	 9.5 	 0.2000 	 -4.0852
286 	 9.9 	 0.2000 	 -4.0854
287 	 9.5 	 0.2000 	 -3.8968
288 	 9.5 	 0.2000 	 -4.0174
289 	 9.5 	 0.2000 	 -4.1112
290 	 10.0 	 0.2000 	 -3.9584
291 	 9.5 	 0.2000 	 -4.0895
292 	 9.5 	 0.2000 	 -4.1513
293 	 10.0 	 0.2000 	 -4.0688
294 	 9.5 	 0.2000 	 -4.1833
295 	 9.5 	 0.2000 	 -4.0725
296 	 9.9 	 0.2000 	 -4.1737
297 	 9.5 	 0.2000 	 -4.1008
298 	 9.5 	 0.2000 	 -4.1017
299 	 9.6 	 0.2000 	 -4.0965
300 	 10.0 	 0.2000 	 -4.1760
301 	 9.5 	 0.2000 	 -4.2194
302 	 9.5 	 0.2000 	 -4.1028
303 	 9.9 	 0.2000 	 -4.2637
304 	 9.6 	 0.2000 	 -4.1144
305 	 9.5 	 0.2000 	 -4.2340
306 	 10.0 	 0.2000 	 -4.0988
307 	 9.5 	 0.2000 	 -4.1678
308 	 9.5 	 0.2000 	 -4.1034
309 	 9.5 	 0.2000 	 -4.1132
310 	 10.0 	 0.2000 	 -4.1177
311 	 9.5 	 0.2000 	 -4.2019
312 	 9.5 	 0.2000 	 -4.2399
313 	 9.9 	 0.2000 	 -4.2385
314 	 9.5 	 0.2000 	 -4.2961
315 	 9.5 	 0.2000 	 -4.3377
316 	 9.9 	 0.2000 	 -4.3145
317 	 9.5 	 0.2000 	 -4.3105
318 	 9.5 	 0.2000 	 -4.3295
319 	 9.5 	 0.2000 	 -4.3227
320 	 10.0 	 0.2000 	 -4.2996
321 	 9.5 	 0.2000 	 -4.4146
322 	 9.5 	 0.2000 	 -4.3837
323 	 10.0 	 0.2000 	 -4.3150
324 	 9.5 	 0.2000 	 -4.0557
325 	 9.5 	 0.2000 	 -4.1980
326 	 10.0 	 0.2000 	 -4.3626
327 	 9.4 	 0.2000 	 -4.3969
328 	 9.5 	 0.2000 	 -4.3779
329 	 9.5 	 0.2000 	 -4.3842
330 	 10.0 	 0.2000 	 -4.4096
331 	 9.5 	 0.2000 	 -4.3410
332 	 9.5 	 0.2000 	 -4.3109
333 	 9.9 	 0.2000 	 -4.3102
334 	 9.4 	 0.2000 	 -4.3550
335 	 9.5 	 0.2000 	 -4.4989
336 	 10.0 	 0.2000 	 -4.4217
337 	 9.5 	 0.2000 	 -4.3492
338 	 9.5 	 0.2000 	 -4.2335
339 	 9.5 	 0.2000 	 -4.2642
340 	 10.0 	 0.2000 	 -4.3985
341 	 9.5 	 0.2000 	 -4.3363
342 	 9.5 	 0.2000 	 -4.3782
343 	 10.0 	 0.2000 	 -4.3603
344 	 9.5 	 0.2000 	 -4.4174
345 	 9.5 	 0.2000 	 -4.4452
346 	 10.0 	 0.2000 	 -4.4917
347 	 9.5 	 0.2000 	 -4.4417
348 	 9.5 	 0.2000 	 -4.4727
349 	 9.5 	 0.2000 	 -4.4627
350 	 10.0 	 0.2000 	 -4.3857
351 	 9.4 	 0.2000 	 -4.3758
352 	 9.5 	 0.2000 	 -4.4439
353 	 10.0 	 0.2000 	 -4.5503
354 	 9.5 	 0.2000 	 -4.3746
355 	 9.5 	 0.2000 	 -4.4794
